1 | 76450556 | SWIFT & HAWK CYBERAGENTEN | Logan Macx | Carlsen | / | Buch | False
2 | 76450557 | Good Girl, Bad Blood | Holly Jackson | One | / | Buch | False
3 | 76450558 | Oracle | Ursula Ursula Poznanski | Loewe | / | Buch | False
4 | 76450559 | Shelter | Ursula Poznanski | Loewe | / | Buch | False
5 | 76450560 | Kill Joy | Holly Jackson | One | / | Buch | False
6 | 76450541 | Isaacs Sturm | Erik Larson | Crown publishers | / | Buch | False
7 | 76450561 | Ein Tödliches Rätsel | Jennifer Lynn Barnes | cbt | / | Buch | False
8 | 76450563 | Ein Mördeisches Spiel | Jennifer Lynn Barnes | cbt | / | Buch | False
9 | 76450562 | Sherlock Homes Das Zeichen der Vier | Sir Arthur Conan Doyle | Franckh | / | Buch | False
10 | 76450564 | Löscher die Geheimnisse von Green Lake | Luis Sachar | Gulliver | / | Buch | False
11 | 76450565 | Die Känguru-Chroniken | Mark-Uwe Kling | Ullstein | / | Buch | False
12 | 76450566 | Erebos | Poznaski | Loewe | / | Buch | True
13 | 76450325 | Versteckspiel | Friederike Schmöe | Verlag an der Ruhr | / | Buch | False
14 | 76450246 | Paranoid Park | Blake Nelson | Gulliever | / | Buch | False
15 | 76450567 | Die drei ??? Und das Riff der Haie | Alfred Hitchcock | dtv Junior | / | Buch | False
16 | 76450568 | Die drei ??? Und der Rote Pirat | Alfred Hitchcock | dtv Junior | / | Buch | False
17 | 76450570 | Gänsehaut und der Schneemensch geht um | R.L. Stine | Omibus | / | Buch | False
18 | 76450569 | Gänsehaut Der Geist im Spiegel | R.L. Stine | Omibus | / | Buch | False
19 | 76450571 | Das geheimisvolle Bild | Vivien Alcock | dtv Junior | / | Buch | False
20 | 76450572 | Die Auserwählten 1 | James Dashner | chicken house | / | Buch | False
21 | 76450573 | Die Auserwählten 3 | James Dashner | chicken house | / | Buch | False
22 | 76450574 | Boot Camp Morton Rhue | Werner Schmitz | Ravensburger | / | Buch | False
23 | 76450582 | Girl online | zoe sugg | cbj | / | Buch | False
24 | 76450583 | Mädchen auf WhatApp | Bärbel körzdörfer | Baumhaus | / | Buch | False
25 | 76450584 | How to catch a Star | Gina Mayer | Ravensburger | / | Buch | False
26 | 76450585 | On Off | Ann-kristin Gelder | Thienemann | / | Buch | False
27 | 76450587 | Emma und das vergessene Buch | Mechild Gläser | Loewe | / | Buch | False
28 | 76450588 | Die Buch springer | Mechild Gläser | Loewe | / | Buch | False
29 | 76450535 | Amber Katastrophal genial | Emma Shevah | chicken house | / | Buch | False
30 | 76450589 | Glücksbäckerei Die Magische Prüfung | Kathryn Littlewood | Fischer | / | Buch | False
31 | 76450590 | Glücksbäckerei Die Magische Rezeptur | Kathryn Littlewood | Fischer | / | Buch | False
32 | 76450591 | Hanni und Nanni und ihre Gäste | Euid bluton | Schneider Buch | / | Buch | False
33 | 76450109 | Like me jeder Klick Zählt | Thomas Feibel | Carlsen | / | Buch | False
34 | 76450592 | Sommer Flammen | Nora Roberts | Diana Verlag | / | Buch | False
35 | 76450593 | Vielleicht morgen | Guillaume Musso | Piper | / | Buch | False
36 | 76450594 | mit voller Gesicht über Gewalt wucht | Christine Knödler | Carlsen | / | Buch | False
37 | 76450363 | Fette Ferien | Jochen Till | Ravensburger | / | Buch | False
38 | 76450595 | un ge küst | Cathy east Dubowski | Heyne Bücher | / | Buch | False
39 | 76450596 | ganz allein zu dritt | Mary Janice Davidson | LYX | / | Buch | False
40 | 76450597 | so sexy | John Hall | Ravensburger | / | Buch | False
41 | 76450598 | Vergiss Mein Nicht | Kerstin Gier | Fischer | / | Buch | False
42 | 76450599 | Tokio Regen | Yasmin Shakarami | cbj | / | Buch | False
43 | 76450600 | Heartstopper | Alice Oseman | Graphix Loewe | / | Buch | False
44 | 76450601 | Lonely Castle in the Mirrow | Mizuki Tsujimura | Hayabusa | / | Buch | False
45 | 76450311 | 28 Tage Lang | David Safier | rowohlt Rot fuchs | / | Buch | False
46 | 76450602 | anatomy | Dana Schwartz | Loewe | / | Buch | False
47 | 76450603 | immortality | Dana Schwartz | Loewe | / | Buch | False
48 | 76450604 | Magig Academy Die Canidatin | Rachel E. Carter | cbt | / | Buch | False
49 | 76450605 | Magig Academy Das Erste Jahr | Rachel E. Carter | cbt | / | Buch | False
50 | 76450606 | Magig Academy Die Prüfung | Rachel E. Carter | cbt | / | Buch | False
51 | 76450607 | Zwei Wochen im Mai | Christine Nöstlinger | Beltz & Geldberg | / | Buch | False
52 | 76450608 | Wie man richtig küsst | Holly -Jane Rahlens | Coppenrath | / | Buch | False
53 | 76450609 | Erebos | Ursula Ursula Poznanski | Klett | / | Buch | False
54 | 76450102 | Herz Verspielt | Simone Elkeles | cbt | / | Buch | False
55 | 76450540 | Das Zweite Gedächtnis | Ken Follett | RM Buch und Medien Vertrieb GmbH | / | Buch | False
56 | 76450042 | der rechte weg | Brigitte Blobel | cbj | / | Buch | False
57 | 76450256 | die stadt der verschwundenen kinder | Caragh O` Brien | Heyne Bücher | / | Buch | False
58 | 76450187 | Andreas Jungwirth | Kein Einziges Wort | Ravensburger | / | Buch | False
59 | 76450243 | Amy Perfekte Diebin | Colin Mulhern | bloomoon | / | Buch | False
60 | 76450088 | Raum 213 | Amy Crossing | Loewe | / | Buch | False
61 | 76450017 | Edgar und der sprechende Totenschädel | Marliese Arold | Thienmann | / | Buch | False
62 | 76450043 | Es gibt dinge die kann man nicht erzählen | Kirsten Boie | Oetinger | / | Buch | False
63 | 76450110 | Schatten Blicke | Karen-Susan Fessel | dtv | / | Buch | False
64 | 76450543 | Stromschnelle | Andreas Schütler | dtv Junior | / | Buch | False
65 | 76450542 | Doppeltreffer | Andreas Schütler | dtv Junior | / | Buch | False
66 | 76450545 | Mit aller Gewalt | Marget Steenfatt | rotfuchs | / | Buch | False
67 | 76450610 | Der Schrecken, der aus der Tiefe kam | R. L. stine | Omibus | / | Buch | False
68 | 76450611 | Chanus Legat | C.J.Cherryh | Heyne Bücher | / | Buch | False
69 | 76450612 | Einbruch bei Tage | Jay Williams | Ravensburger | / | Buch | False
70 | 76450613 | Gift für den Killerwal | Thomas Brezina | Ravensburger | / | Buch | False
71 | 76450614 | Und das nennt ihr mut | Inge Meyer-Dietrich | Ravensburger | / | Buch | False
72 | 76450198 | Ich habe den Todesengel Überlebt | Eva Mozes Kor | cbj | / | Buch | False
73 | 76450615 | Melina und die Delfine | Federica de Cesco | Arena | / | Buch | False
74 | 76450616 | Melina und die Delfine | Federica de Cesco | Arena | / | Buch | False
75 | 76450617 | Die puppe im Feuer | Michael Hatry | dtv Junior | / | Buch | False
76 | 76450618 | Höhenflug abwärts | Jana Frey | Hase und Igel | / | Buch | False
77 | 76450619 | Die Welle | Morton Rhue | Ravensburger | / | Buch | False
78 | 76450620 | Wofür ich gelebt habe | Joyce Carol Oates | btb | / | Buch | False
79 | 76450622 | Ohne ein Wort | Lindwood Barclay | Ullstein | / | Buch | False
80 | 76450544 | Schattenkinder | Margret Peterson Haddix | dtv | / | Buch | False
81 | 76450546 | 7 Minuten zu Spät | Kate Pepper | Rowohl | / | Buch | False
82 | 76450547 | Leise Stirbst du nie | Daniel Annaechino | Ullstein | / | Buch | False
83 | 76450045 | Der Junge im gestreiften Pyjama | John Boyne | Fischer | / | Buch | False
84 | 76450621 | Rolltreppe abwärts | Hans-Georg Noack | Ravensburger | / | Buch | False
85 | 76450623 | Das geisterhaus | William Sleator | Walter Verlag | / | Buch | False
86 | 76450624 | Patty sucht den Mississippi | Thomas Jeier | Schneider Buch | / | Buch | False
87 | 76450625 | Unheimlich | Ursula Isbel | Schneider Buch | / | Buch | False
88 | 76450626 | Der Wheinachts Quilt | Jennifer Chiaverini | Weltbild | / | Buch | False
89 | 76450627 | Der Fluch der Sterne | Elizabeth Redfern | BLT | / | Buch | False
